strain	date	clade_membership	country	division	division_exposure	gisaid_epi_isl	originating_lab	pangolin_lineage	recency	region	region_exposure	subclade_membership	submitting_lab	url	author	accession	location
hCoV-19/Switzerland/VD-GEN2578/2021	2021-01-09	20I/501Y.V1	Switzerland	Vaud	Vaud	EPI_ISL_1120860	EHNV	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	Laboratory of genomics and metagenomics, Institute of Microbiology, University Hospital Centre and University of Lausanne, Switzerland		Trestan Pillonel, Damien Jacot, Sébastien Aeby, Gilbert Greub, Claire Bertelli		
hCoV-19/Switzerland/GE-32914355/2021	2021-01-08	20I/501Y.V1	Switzerland	Geneva	Geneva	EPI_ISL_864613	University Hospitals of Geneva, Laboratory of Virology	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	HUG, Laboratory of Virology and the Health2030 Genome Center		Samuel Cordey, Ana Rita Goncalves, Laurent Kaiser, Lorenzo Cerutti, Henri Pegeot, Melyssa Elies, Deborah Penet, Keith Harshman, Ioannis Xenarios, Emmanouil Dermitzakis		
hCoV-19/France/ARA-HCL021022762801/2021	2021-01-28	20I/501Y.V1	France	Auvergne-Rhone-Alpes	Auvergne-Rhone-Alpes	EPI_ISL_1297439	BIOMNIS LYON	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	CNR Virus des Infections Respiratoires - France SUD		Antonin Bal, Gregory Destras, Gwendolyne Burfin, Hadrien Regue, Quentin Semanas, Martine Valette, Bruno Lina, Laurence Josset		Lyon
hCoV-19/France/ARA-HCL021022863801/2021	2021-01-29	20I/501Y.V1	France	Auvergne-Rhone-Alpes	Auvergne-Rhone-Alpes	EPI_ISL_1135007	BIOMNIS LYON	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	CNR Virus des Infections Respiratoires - France SUD		Antonin Bal, Gregory Destras, Gwendolyne Burfin, Hadrien Regue, Quentin Semanas, Martine Valette, Bruno Lina, Laurence Josset		Lyon
hCoV-19/France/IDF-HCL021020664401/2021	2021-01-26	20I/501Y.V1	France	Ile-de-France	Ile-de-France	EPI_ISL_1359878	BIOMNIS PARIS	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	CNR Virus des Infections Respiratoires - France SUD		Antonin Bal, Gregory Destras, Gwendolyne Burfin, Hadrien Regue, Quentin Semanas, Martine Valette, Bruno Lina, Laurence Josset		Ivry-sur-Seine
hCoV-19/France/IDF-IPP01408/2021	2021-01-14	20I/501Y.V1	France	Ile de France	Ile de France	EPI_ISL_941080	Labo Analyses Med	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris		Marion Barbet, Sylvie Behillil, Méline Bizard, Angela Brisebarre, Camille Capel, Etienne Simon-Lorière, Vincent Enouf, Maud Vanpeene, Sylvie van der Werf, Merah Kader		SAINT-DENIS
hCoV-19/Switzerland/VD-GEN2580/2021	2021-01-09	20I/501Y.V1	Switzerland	Vaud	Vaud	EPI_ISL_1120862	EHNV	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	Laboratory of genomics and metagenomics, Institute of Microbiology, University Hospital Centre and University of Lausanne, Switzerland		Trestan Pillonel, Damien Jacot, Sébastien Aeby, Gilbert Greub, Claire Bertelli		
hCoV-19/Switzerland/ZH-SNRCI-32927909/2021	2021-01-07	20I/501Y.V1	Switzerland	Zurich	Zurich	EPI_ISL_864737	University Hospitals of Geneva, Laboratory of Virology	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	HUG, Laboratory of Virology and the Health2030 Genome Center		Samuel Cordey, Ana Rita Goncalves, Laurent Kaiser, Lorenzo Cerutti, Henri Pegeot, Melyssa Elies, Deborah Penet, Keith Harshman, Ioannis Xenarios, Emmanouil Dermitzakis		
hCoV-19/Switzerland/GEN2699/2021	2021-01-25	20I/501Y.V1	Switzerland	Vaud	Vaud	EPI_ISL_1007620	CHUV	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	Laboratory of genomics and metagenomics, Institute of Microbiology, University Hospital Centre and University of Lausanne, Switzerland		Trestan Pillonel, Damien Jacot, Sébastien Aeby, Gilbert Greub, Claire Bertelli		
hCoV-19/Switzerland/VD-ETHZ-471190/2021	2021-01-27	20I/501Y.V1	Switzerland	Vaud	Vaud	EPI_ISL_1130686	Viollier AG	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	Department of Biosystems Science and Engineering, ETH Zürich		Chaoran Chen, Sarah Nadeau, Catharine Aquino, Ivan Topolsky, Philipp Jablonski, Lara Fuhrmann, David Dreifuss, Katharina Jahn, Andreia Cabral de Gouvea, Maria Domenica Moccia, Simon Grüter, Timothy Sykes, Lennart Opitz, Griffin White, Laura Neff, Doris Popovic, Andrea Patrignani, Jay Tracy, Ralph Schlapbach, Christiane Beckmann, Maurice Redondo, Olivier Kobel, Christoph Noppen, Sophie Seidel, Noemie Santamaria de Souza,  Niko Beerenwinkel, Tanja Stadler		
hCoV-19/Switzerland/VD-GEN2572/2021	2021-01-10	20I/501Y.V1	Switzerland	Vaud	Vaud	EPI_ISL_1120868	EHNV	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	Laboratory of genomics and metagenomics, Institute of Microbiology, University Hospital Centre and University of Lausanne, Switzerland		Trestan Pillonel, Damien Jacot, Sébastien Aeby, Gilbert Greub, Claire Bertelli		
hCoV-19/Switzerland/VD-GEN2573/2021	2021-01-10	20I/501Y.V1	Switzerland	Vaud	Vaud	EPI_ISL_1120869	EHNV	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	Laboratory of genomics and metagenomics, Institute of Microbiology, University Hospital Centre and University of Lausanne, Switzerland		Trestan Pillonel, Damien Jacot, Sébastien Aeby, Gilbert Greub, Claire Bertelli		
hCoV-19/Slovakia/UKBA-814/2021	2021-01-08	20I/501Y.V1	Slovakia	Zelovce	Zelovce	EPI_ISL_831675	Institute of Virology, Biomedical Research Center of the Slovak Academy of Sciences, Bratislava	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	Faculty of Natural Sciences, Comenius University, Bratislava		Viktória Čabanová, Kristína Boršová, Broňa Brejová, Viktória Hodorová, Sabina Fumačová Havlíková, Juraj Kopáček, Martina Ličková, Ľubomíra Lukáčiková, Martina Neboháčová, Monika Sláviková, Tomáš Vinař, Jozef Nosek, Boris Klempa		
hCoV-19/Germany/SL-SU-21003581/2021	2021-01-27	20I/501Y.V1	Germany	Saarland	Saarland	EPI_ISL_1091123	Virology, Universitätsklinikum des Saarlandes	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	Epigenetics, Saarland University		Kathrin Kattler, Markus Vogelgesang, Stefan Lohse, Sascha Tierling, Thorsten Pfuhl, Sigrun Smola, Jörn Walter		
hCoV-19/Austria/CeMM3517/2021	2021-01-27	20I/501Y.V1	Austria	Tyrol	Tyrol	EPI_ISL_1117872	HG Pharma GmbH	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	Bergthaler laboratory, CeMM Research Center for Molecular Medicine of the Austrian Academy of Sciences		Lukas Endler, Anna Schedl, Thomas Penz, Benedikt Agerer, Maelle Le Moing, Michael Schuster, Bekir Erguner, Jan Laine, Martin Senekowitsch, Christoph Bock, Andreas Bergthaler		Imst
hCoV-19/Germany/RP-RKI-I-012979/2021	2021-01-27	20I/501Y.V1	Germany	Rhineland-Palatinate	Rhineland-Palatinate	EPI_ISL_1143113	LabKom - Labor Mainz MVZ GmbH	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	Robert Koch Institute		unknown		
hCoV-19/Germany/RP-RKI-I-032726/2021	2021-01-28	20I/501Y.V1	Germany	Rhineland-Palatinate	Rhineland-Palatinate	EPI_ISL_1216945	MVZ für Laboratoriumsmedizin und Mikrobiologie Koblenz-Mittelrhein (Labor Koblenz)	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	Robert Koch Institute		unknown		
hCoV-19/Germany/NI-RKI-I-010929/2021	2021-01-18	20I/501Y.V1	Germany	Lower Saxony	Lower Saxony	EPI_ISL_1141057	amedes MVZ Hannover	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	Robert Koch Institute		unknown		
hCoV-19/Germany/NI-RKI-I-031710/2021	2021-01-28	20I/501Y.V1	Germany	Lower Saxony	Lower Saxony	EPI_ISL_1215784	MVZ Medizinisches Labor Hannover GmbH	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	Robert Koch Institute		unknown		
hCoV-19/Germany/HB-RKI-I-012955/2021	2021-01-28	20I/501Y.V1	Germany	Bremen	Bremen	EPI_ISL_1143089	Sonic - MVZ Medizinisches Labor Bremen GmbH	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	Robert Koch Institute		unknown		
hCoV-19/Scotland/EDB16827/2021	2021-01-05	20I/501Y.V1	United Kingdom	Scotland	Scotland	EPI_ISL_1308848	Virology Department, Royal Infirmary of Edinburgh, NHS Lothian / School of Biological Sciences, University of Edinburgh	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	COVID-19 Genomics UK (COG-UK) Consortium		McHugh M, Dewar R, Cotton S, Rooke S, O’Toole Á, Scher E, Hill V, McCrone JT, Colquhoun R, Yu X, Jackson B, Rambaut A, Templeton K		
hCoV-19/Poland/Pomorskie_MWB_126/2021	2021-01-16	20I/501Y.V1	Poland	Pomorskie	Pomorskie	EPI_ISL_1040951	Hematology Laboratory, Section of Molecular Diagnostics,  University Clinical Centre, Medical University of Gdansk	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	Laboratory of Recombinant Vaccines		Lukasz Rabalski, Maciej Kosinski, Adam Sodol, Aneta Szulc, Krzysztof Lewandowski, Ewa Milosz, Marlena Robakowska, Boguslaw Szewczyk, Krystyna Bienkowska-Szewczyk		
hCoV-19/Scotland/EDB16798/2021	2021-01-07	20I/501Y.V1	United Kingdom	Scotland	Scotland	EPI_ISL_1308843	Virology Department, Royal Infirmary of Edinburgh, NHS Lothian / School of Biological Sciences, University of Edinburgh	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	COVID-19 Genomics UK (COG-UK) Consortium		McHugh M, Dewar R, Cotton S, Rooke S, O’Toole Á, Scher E, Hill V, McCrone JT, Colquhoun R, Yu X, Jackson B, Rambaut A, Templeton K		
hCoV-19/CzechRepublic/NRL_2578_21/2021	2021-01-25	20I/501Y.V1	Czech Republic			EPI_ISL_1315013	National Institute of Public Health	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	National Institute of Public Health		Helena Jirincova, Jaromira Vecerova, Timotej Suri, Dusan Trnka, Alexander Nagy		
hCoV-19/CzechRepublic/NRL_1277_21/2021	2021-01-18	20I/501Y.V1	Czech Republic	Trutnov	Trutnov	EPI_ISL_1261189	National Institute of Public Health	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	National Reference Laboratory for Influenza and Respiratory Viruses CZE		Helena Jirincova, Jaromira Vecerova, Timotej Suri, Dusan Trnka, Alexander Nagy		
hCoV-19/Germany/SN-RKI-I-014947/2021	2021-01-28	20I/501Y.V1	Germany	Saxony	Saxony	EPI_ISL_1145085	Bioscientia Labor Wermsdorf	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	Robert Koch Institute		unknown		
hCoV-19/CzechRepublic/NRL_2327_21/2021	2021-01-06	20I/501Y.V1	Czech Republic	Nachod	Nachod	EPI_ISL_1261326	National Institute of Public Health	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	National Reference Laboratory for Influenza and Respiratory Viruses CZE		Helena Jirincova, Jaromira Vecerova, Timotej Suri, Dusan Trnka, Alexander Nagy		
hCoV-19/CzechRepublic/NRL-1164/2021	2021-01-20	20I/501Y.V1	Czech Republic	Pardubice Region	Pardubice Region	EPI_ISL_1510319	National Institute of Public Health	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	State Veterinary Institute Prague		Nagy,A;Jirincova,H;Suri,T;Trnka,D;Vecerova,J		
hCoV-19/Slovakia/CeMM4357/2021	2021-01-10	20I/501Y.V1	Slovakia	Bratislava	Bratislava	EPI_ISL_1495262	Public Health Authority of the Slovak Republic	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	Bergthaler laboratory, CeMM Research Center for Molecular Medicine of the Austrian Academy of Sciences		Lukas Endler, Anna Schedl, Fabian Amman, Petr Triska, Thomas Penz, Benedikt Agerer, Maelle Le Moing, Michael Schuster, Bekir Erguner, Jan Laine, Martin Senekowitsch, Christoph Bock, Andreas Bergthaler		
hCoV-19/CzechRepublic/NRL_242/2021	2021-01-05	20I/501Y.V1	Czech Republic	Prague	Prague	EPI_ISL_882944	The National Institute of Public Health	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	State Veterinary Institute Prague		Nagy,A;Jirincova,H;Vecerova,JTrnka,D		
hCoV-19/CzechRepublic/NRL_599/2021	2021-01-17	20I/501Y.V1	Czech Republic	Prague	Prague	EPI_ISL_960406	The National Institute of Public Health	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	State Veterinary Institute Prague		Nagy,A;Vecerova,J;Cernikova,L;Stara,M;Jirincova,H;Trnka,D		
hCoV-19/CzechRepublic/NRL_237/2021	2021-01-04	20I/501Y.V1	Czech Republic	Hradec Králové Region	Hradec Králové Region	EPI_ISL_850682	The National Institute of Public Health	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	State Veterinary Institute Prague		Nagy,A;Jirincova,H;Trnka,D;Vecerova,J		Trutnov
hCoV-19/CzechRepublic/NRL_1282_21/2021	2021-01-13	20I/501Y.V1	Czech Republic	Trutnov	Trutnov	EPI_ISL_1261191	National Institute of Public Health	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	National Reference Laboratory for Influenza and Respiratory Viruses CZE		Helena Jirincova, Jaromira Vecerova, Timotej Suri, Dusan Trnka, Alexander Nagy		
hCoV-19/CzechRepublic/NRL_2326_21/2021	2021-01-06	20I/501Y.V1	Czech Republic	Nachod	Nachod	EPI_ISL_1261222	National Institute of Public Health	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	National Reference Laboratory for Influenza and Respiratory Viruses CZE		Helena Jirincova, Jaromira Vecerova, Timotej Suri, Dusan Trnka, Alexander Nagy		
hCoV-19/Slovakia/CeMM4359/2021	2021-01-22	20I/501Y.V1	Slovakia	Zvolen	Zvolen	EPI_ISL_1495264	Public Health Authority of the Slovak Republic	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	Bergthaler laboratory, CeMM Research Center for Molecular Medicine of the Austrian Academy of Sciences		Lukas Endler, Anna Schedl, Fabian Amman, Petr Triska, Thomas Penz, Benedikt Agerer, Maelle Le Moing, Michael Schuster, Bekir Erguner, Jan Laine, Martin Senekowitsch, Christoph Bock, Andreas Bergthaler		
hCoV-19/Austria/CeMM3091/2021	2021-01-15	20I/501Y.V1	Austria	Vienna	Vienna	EPI_ISL_934669	Department of Laboratory Medicine, Division of Clinical Virology, University of Medicine, Vienna	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	Bergthaler laboratory, CeMM Research Center for Molecular Medicine of the Austrian Academy of Sciences		Lukas Endler, Anna Schedl, Thomas Penz, Benedikt Agerer, Maelle Le Moing, Michael Schuster, Bekir Erguner, Jan Laine, Martin Senekowitsch, Christoph Bock, Andreas Bergthaler		
hCoV-19/CzechRepublic/NRL_234/2021	2021-01-05	20I/501Y.V1	Czech Republic	Prague	Prague	EPI_ISL_850679	The National Institute of Public Health	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	State Veterinary Institute Prague		Nagy,A;Jirincova,H;Trnka,D;Vecerova,J		
hCoV-19/Slovakia/UKBA-808/2021	2021-01-08	20I/501Y.V1	Slovakia	Banska Bystrica	Banska Bystrica	EPI_ISL_831674	Institute of Virology, Biomedical Research Center of the Slovak Academy of Sciences, Bratislava	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	Faculty of Natural Sciences, Comenius University, Bratislava		Kristína Boršová, Viktória Čabanová, Broňa Brejová, Viktória Hodorová, Sabina Fumačová Havlíková, Juraj Kopáček, Martina Ličková, Ľubomíra Lukáčiková, Martina Neboháčová, Monika Sláviková, Tomáš Vinař, Boris Klempa, Jozef Nosek		
hCoV-19/Slovakia/UKBA-706/2021	2021-01-07	20I/501Y.V1	Slovakia	Nitra	Nitra	EPI_ISL_875525	Institute of Virology, Biomedical Research Center of the Slovak Academy of Sciences, Bratislava	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	Faculty of Natural Sciences, Comenius University, Bratislava		Kristína Boršová, Viktória Čabanová, Broňa Brejová, Viktória Hodorová, Sabina Fumačová Havlíková, Juraj Kopáček, Martina Ličková, Ľubomíra Lukáčiková, Martina Neboháčová, Monika Sláviková, Tomáš Vinař, Boris Klempa, Jozef Nosek		
hCoV-19/Austria/CeMM3088/2021	2021-01-15	20I/501Y.V1	Austria	Vienna	Vienna	EPI_ISL_934666	Department of Laboratory Medicine, Division of Clinical Virology, University of Medicine, Vienna	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	Bergthaler laboratory, CeMM Research Center for Molecular Medicine of the Austrian Academy of Sciences		Lukas Endler, Anna Schedl, Thomas Penz, Benedikt Agerer, Maelle Le Moing, Michael Schuster, Bekir Erguner, Jan Laine, Martin Senekowitsch, Christoph Bock, Andreas Bergthaler		
hCoV-19/CzechRepublic/NRL_1289_21/2021	2021-01-22	20I/501Y.V1	Czech Republic	Trutnov	Trutnov	EPI_ISL_1261292	National Institute of Public Health	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	National Reference Laboratory for Influenza and Respiratory Viruses CZE		Helena Jirincova, Jaromira Vecerova, Timotej Suri, Dusan Trnka, Alexander Nagy		
hCoV-19/CzechRepublic/NRL_2577_21/2021	2021-01-26	20I/501Y.V1	Czech Republic	Kralovehradecky region	Kralovehradecky region	EPI_ISL_1261242	National Institute of Public Health	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	National Reference Laboratory for Influenza and Respiratory Viruses CZE		Helena Jirincova, Jaromira Vecerova, Timotej Suri, Dusan Trnka, Alexander Nagy		
hCoV-19/CzechRepublic/NRL_2314_21/2021	2021-01-05	20I/501Y.V1	Czech Republic	Nachod	Nachod	EPI_ISL_1261325	National Institute of Public Health	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	National Reference Laboratory for Influenza and Respiratory Viruses CZE		Helena Jirincova, Jaromira Vecerova, Timotej Suri, Dusan Trnka, Alexander Nagy		
hCoV-19/Slovakia/UKBA-1120/2021	2021-01-26	20I/501Y.V1	Slovakia	Bartosova Lehotka	Bartosova Lehotka	EPI_ISL_959632	Institute of Virology, Biomedical Research Center of the Slovak Academy of Sciences, Bratislava	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	Faculty of Natural Sciences, Comenius University, Bratislava		Broňa Brejová, Viktória Čabanová, Kristína Boršová, Viktória Hodorová, Sabina Fumačová Havlíková, Juraj Kopáček, Martina Ličková, Ľubomíra Lukáčiková, Martina Neboháčová, Monika Sláviková, Tomáš Vinař, Jozef Nosek, Boris Klempa		
hCoV-19/Slovakia/CeMM4339/2021	2021-01-26	20I/501Y.V1	Slovakia	Poprad	Poprad	EPI_ISL_1495245	Public Health Authority of the Slovak Republic	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	Bergthaler laboratory, CeMM Research Center for Molecular Medicine of the Austrian Academy of Sciences		Lukas Endler, Anna Schedl, Fabian Amman, Petr Triska, Thomas Penz, Benedikt Agerer, Maelle Le Moing, Michael Schuster, Bekir Erguner, Jan Laine, Martin Senekowitsch, Christoph Bock, Andreas Bergthaler		
hCoV-19/CzechRepublic/NRL-2357/2021	2021-01-06	20I/501Y.V1	Czech Republic	Kralovehradecky region	Kralovehradecky region	EPI_ISL_1492102	National Institute of Public Health	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	National Institute of Public Health		Helena Jirincova, Jaromira Vecerova, Timotej Suri, Dusan Trnka, Alexander Nagy		
hCoV-19/Slovakia/10460094/2021	2021-01-04	20I/501Y.V1	Slovakia	Bratislava	Bratislava	EPI_ISL_1280156	Department of Genetics, Medirex	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	Laboratory of Genomics and Bioinformatics, Comenius University Science Park		Tatiana Sedláčková, Miroslav Böhmer, Renáta Lukačková, Gabriel Minárik, Anna Gičová, Werner Krampl, Diana Rusňáková, Jaroslav Budiš, Tomáš Szemes		
hCoV-19/Slovakia/UKBA-801/2021	2021-01-07	20I/501Y.V1	Slovakia	Nitra	Nitra	EPI_ISL_831667	Institute of Virology, Biomedical Research Center of the Slovak Academy of Sciences, Bratislava	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	Faculty of Natural Sciences, Comenius University, Bratislava		Viktória Čabanová, Kristína Boršová, Broňa Brejová, Viktória Hodorová, Sabina Fumačová Havlíková, Juraj Kopáček, Martina Ličková, Ľubomíra Lukáčiková, Martina Neboháčová, Monika Sláviková, Tomáš Vinař, Jozef Nosek, Boris Klempa		
hCoV-19/CzechRepublic/NRL_2332_21/2021	2021-01-06	20I/501Y.V1	Czech Republic	Nachod	Nachod	EPI_ISL_1261223	National Institute of Public Health	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	National Reference Laboratory for Influenza and Respiratory Viruses CZE		Helena Jirincova, Jaromira Vecerova, Timotej Suri, Dusan Trnka, Alexander Nagy		
hCoV-19/Slovakia/UKBA-707/2021	2021-01-07	20I/501Y.V1	Slovakia	Nitra	Nitra	EPI_ISL_875526	Institute of Virology, Biomedical Research Center of the Slovak Academy of Sciences, Bratislava	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	Faculty of Natural Sciences, Comenius University, Bratislava		Broňa Brejová, Viktória Čabanová, Kristína Boršová, Viktória Hodorová, Sabina Fumačová Havlíková, Juraj Kopáček, Martina Ličková, Ľubomíra Lukáčiková, Martina Neboháčová, Monika Sláviková, Tomáš Vinař, Jozef Nosek, Boris Klempa		
hCoV-19/CzechRepublic/NRL_1905_21/2021	2021-01-23	20I/501Y.V1	Czech Republic			EPI_ISL_1321362	National Institute of Public Health	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	National Reference Laboratory for Influenza and Respiratory Viruses CZE		Helena Jirincova, Jaromira Vecerova, Timotej Suri, Dusan Trnka, Alexander Nagy		
hCoV-19/CzechRepublic/NRL-1378/2021	2021-01-22	20I/501Y.V1	Czech Republic	Prague	Prague	EPI_ISL_1492071	National Institute of Public Health	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	National Institute of Public Health		Helena Jirincova, Jaromira Vecerova, Timotej Suri, Dusan Trnka, Alexander Nagy		
hCoV-19/CzechRepublic/NRL_2337_21/2021	2021-01-06	20I/501Y.V1	Czech Republic	Nachod	Nachod	EPI_ISL_1261225	National Institute of Public Health	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	National Reference Laboratory for Influenza and Respiratory Viruses CZE		Helena Jirincova, Jaromira Vecerova, Timotej Suri, Dusan Trnka, Alexander Nagy		
hCoV-19/Austria/CeMM2306/2021	2021-01-08	20I/501Y.V1	Austria	Burgenland	Burgenland	EPI_ISL_934478	Austrian Agency for Health and Food Safety (AGES)	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	Bergthaler laboratory, CeMM Research Center for Molecular Medicine of the Austrian Academy of Sciences		Lukas Endler, Anna Schedl, Thomas Penz, Benedikt Agerer, Maelle Le Moing, Michael Schuster, Bekir Erguner, Jan Laine, Martin Senekowitsch, Christoph Bock, Andreas Bergthaler		
hCoV-19/Germany/BE-RKI-I-015759/2021	2021-01-30	20I/501Y.V1	Germany	Berlin	Berlin	EPI_ISL_1145921	Labor 28 MVZ GmbH	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	Robert Koch Institute		unknown		
hCoV-19/CzechRepublic/NRL_239/2021	2021-01-05	20I/501Y.V1	Czech Republic	Prague	Prague	EPI_ISL_850684	The National Institute of Public Health	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	State Veterinary Institute Prague		Nagy,A;Jirincova,H;Trnka,D;Vecerova,J		
hCoV-19/Germany/BY-RKI-I-017993/2021	2021-01-26	20I/501Y.V1	Germany	Bavaria	Bavaria	EPI_ISL_1148155	Bayerisches Landesamt für Gesundheit und Lebensmittelsicherheit (LGL)	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	Robert Koch Institute		unknown		
hCoV-19/Germany/ST-MD354/2021	2021-01-22	20I/501Y.V1	Germany	Saxony-Anhalt	Saxony-Anhalt	EPI_ISL_960859	Institute of Medical Microbiology and Hospital Hygiene	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	Institute of Medical Microbiology and Hospital Hygiene		Prof. Dr. Achim Kaasch, Aljoscha Tersteegen		
hCoV-19/Slovakia/10460107/2021	2021-01-04	20I/501Y.V1	Slovakia	Bratislava	Bratislava	EPI_ISL_1280162	Department of Genetics, Medirex	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	Laboratory of Genomics and Bioinformatics, Comenius University Science Park		Tatiana Sedláčková, Miroslav Böhmer, Renáta Lukačková, Gabriel Minárik, Anna Gičová, Werner Krampl, Diana Rusňáková, Jaroslav Budiš, Tomáš Szemes		
hCoV-19/Slovakia/UKBA-704/2021	2021-01-07	20I/501Y.V1	Slovakia	Nitra	Nitra	EPI_ISL_875523	Institute of Virology, Biomedical Research Center of the Slovak Academy of Sciences, Bratislava	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	Faculty of Natural Sciences, Comenius University, Bratislava		Kristína Boršová, Viktória Čabanová, Broňa Brejová, Viktória Hodorová, Sabina Fumačová Havlíková, Juraj Kopáček, Martina Ličková, Ľubomíra Lukáčiková, Martina Neboháčová, Monika Sláviková, Tomáš Vinař, Boris Klempa, Jozef Nosek		
hCoV-19/CzechRepublic/NRL_2309_21/2021	2021-01-05	20I/501Y.V1	Czech Republic	Nachod	Nachod	EPI_ISL_1261323	National Institute of Public Health	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	National Reference Laboratory for Influenza and Respiratory Viruses CZE		Helena Jirincova, Jaromira Vecerova, Timotej Suri, Dusan Trnka, Alexander Nagy		
hCoV-19/CzechRepublic/NRL_1901_21/2021	2021-01-19	20I/501Y.V1	Czech Republic			EPI_ISL_1321360	National Institute of Public Health	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	National Reference Laboratory for Influenza and Respiratory Viruses CZE		Helena Jirincova, Jaromira Vecerova, Timotej Suri, Dusan Trnka, Alexander Nagy		
hCoV-19/CzechRepublic/NRL_2976_21/2021	2021-01-09	20I/501Y.V1	Czech Republic			EPI_ISL_1315049	National Institute of Public Health	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	National Institute of Public Health		Helena Jirincova, Jaromira Vecerova, Timotej Suri, Dusan Trnka, Alexander Nagy		
hCoV-19/Slovakia/UKBA-802/2021	2021-01-07	20I/501Y.V1	Slovakia	Nitra	Nitra	EPI_ISL_831668	Institute of Virology, Biomedical Research Center of the Slovak Academy of Sciences, Bratislava	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	Faculty of Natural Sciences, Comenius University, Bratislava		Kristína Boršová, Viktória Čabanová, Broňa Brejová, Viktória Hodorová, Sabina Fumačová Havlíková, Juraj Kopáček, Martina Ličková, Ľubomíra Lukáčiková, Martina Neboháčová, Monika Sláviková, Tomáš Vinař, Boris Klempa, Jozef Nosek		
hCoV-19/CzechRepublic/NRL-1178/2021	2021-01-11	20I/501Y.V1	Czech Republic	Prague	Prague	EPI_ISL_1510323	National Institute of Public Health	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	State Veterinary Institute Prague		Nagy,A;Jirincova,H;Suri,T;Trnka,D;Vecerova,J		
